Date,BTC Price,NUPL,Young-NUPL,Old-NUPL,Euphoria (2-of-3),Euphoria (3-of-3),Max Pain
2021-09-03,49860.5341635301,0.5825315079214843,0.12031173319446269,0.7464523753689173,0.0,0.0,0.0
2021-09-04,49919.577563647,0.5825980592291564,0.12272297353846573,0.7464876383646335,0.0,0.0,0.0
2021-09-05,51747.6438565167,0.5969280590968233,0.15442361124288442,0.7544243746587574,0.0,0.0,0.0
2021-09-06,52640.5883740503,0.6030665142108517,0.1690763973239701,0.7577984898382129,0.0,0.0,0.0
2021-09-07,46854.4006028638,0.5547129697512481,0.06782548972317992,0.727221139625062,0.0,0.0,0.0
2021-09-08,46187.9757306254,0.5482416252213893,0.05656720128262944,0.7195687883023701,0.0,0.0,0.0
2021-09-09,46448.7748290473,0.5499740862312891,0.06351382628452791,0.7191348954194239,0.0,0.0,0.0
2021-09-10,44765.2755762712,0.5332455890633365,0.0305157063065138,0.7080020209474871,0.0,0.0,0.0
2021-09-11,45098.5916447691,0.5365667945442478,0.03941679626547676,0.7089583172932096,0.0,0.0,0.0
2021-09-12,46180.6124563998,0.5471459586282789,0.06336415218676153,0.7128747477630636,0.0,0.0,0.0
2021-09-13,44991.5221277031,0.5352865045607275,0.03970119506500277,0.7017198048577086,0.0,0.0,0.0
2021-09-14,47022.6177597896,0.5546004759296134,0.08320412527517455,0.7139010833313463,0.0,0.0,0.0
2021-09-15,48167.1893676213,0.5640348287565723,0.10742954169936142,0.7205709908195818,0.0,0.0,0.0
2021-09-16,47797.3283237873,0.5602427554782075,0.10291193163901005,0.7183700329689602,0.0,0.0,0.0
2021-09-17,47213.7941294565,0.5545556890725936,0.09433617995195451,0.7147007511604309,0.0,0.0,0.0
2021-09-18,48204.0136519579,0.5634001308407471,0.11539587811974128,0.7191742144598332,0.0,0.0,0.0
2021-09-19,47218.4739964933,0.5541569328097431,0.09834263150628167,0.7127315041776369,0.0,0.0,0.0
